business_id,Score,inspection_date
88,78,20140211
126,70,20140410
230,80,20140205
234,79,20140415
240,79,20140206
335,79,20140306
415,83,20140124
448,84,20140108
467,84,20140514
468,84,20140506
469,71,20140507
472,77,20140210
473,82,20140204
477,83,20140604
489,83,20140617
495,81,20140408
496,84,20140508
500,77,20140327
589,84,20140423
610,73,20140528
634,77,20140203
667,78,20140520
687,83,20140618
700,81,20140123
729,81,20140213
805,64,20140224
824,78,20140211
843,74,20140507
852,66,20140410
854,84,20140205
903,75,20140221
910,84,20140402
913,80,20140313
943,84,20140514
966,84,20140508
969,77,20140423
972,81,20140212
985,81,20140505
1000,77,20140415
1022,83,20140519
1022,79,20140113
1036,74,20140411
1144,79,20140325
1190,81,20140303
1216,78,20140219
1261,84,20140618
1262,84,20140430
1276,72,20140211
1304,84,20140523
1337,77,20140414
1358,70,20140306
1398,83,20140205
1458,81,20140611
1490,76,20140507
1532,84,20140416
1554,83,20140609
1566,81,20140205
1583,70,20140311
1595,84,20140618
1601,82,20140225
1674,80,20140205
1702,81,20140617
1710,83,20140516
1718,80,20140122
1822,84,20140228
1830,81,20140604
1831,81,20140219
1832,77,20140114
1833,69,20140626
1833,65,20140206
1837,83,20140122
1838,74,20140305
1843,75,20140108
1850,84,20140627
1870,80,20140114
1930,76,20140416
1947,84,20140509
1949,81,20140305
1950,80,20140623
1960,77,20140304
1963,82,20140204
2001,73,20140415
2004,68,20140507
2057,83,20140415
2063,80,20140326
2076,79,20140429
2085,84,20140409
2104,81,20140513
2107,78,20140416
2109,81,20140626
2180,84,20140618
2199,84,20140502
2200,79,20140213
2205,77,20140228
2233,82,20140520
2234,72,20140520
2240,80,20140210
2280,83,20140515
2325,79,20140603
2326,80,20140421
2331,78,20140227
2334,81,20140204
2337,82,20140106
2362,82,20140512
2373,83,20140225
2421,80,20140327
2454,77,20140321
2463,80,20140508
2544,72,20140303
2615,70,20140226
2620,84,20140516
2697,79,20140428
2700,80,20140227
2738,64,20140227
2752,84,20140428
2758,80,20140129
2759,84,20140422
2767,84,20140225
2785,79,20140602
2798,84,20140610
2808,80,20140122
2821,81,20140415
2870,80,20140220
2879,83,20140228
2898,76,20140521
2941,80,20140211
2945,73,20140228
3008,67,20140319
3021,70,20140205
3025,82,20140514
3025,84,20140204
3031,70,20140410
3035,79,20140128
3054,80,20140422
3084,84,20140212
3095,72,20140324
3115,53,20140624
3115,73,20140128
3116,81,20140130
3118,80,20140327
3121,80,20140210
3123,53,20140522
3151,57,20140514
3156,82,20140219
3160,84,20140624
3167,69,20140609
3174,73,20140212
3183,77,20140225
3209,77,20140609
3217,80,20140611
3221,81,20140312
3229,70,20140212
3237,83,20140428
3252,84,20140214
3262,75,20140117
3273,70,20140401
3286,70,20140414
3315,81,20140605
3388,84,20140106
3393,80,20140102
3397,73,20140313
3445,83,20140611
3481,72,20140205
3528,73,20140626
3529,70,20140416
3536,76,20140214
3543,69,20140416
3548,81,20140114
3571,81,20140603
3591,79,20140602
3591,79,20140108
3594,81,20140123
3612,81,20140228
3613,72,20140611
3675,80,20140530
3675,56,20140127
3676,81,20140211
3682,76,20140325
3685,73,20140203
3693,73,20140402
3751,65,20140304
3761,79,20140529
3770,77,20140121
3819,66,20140422
3825,74,20140515
3830,71,20140429
3850,82,20140506
3864,80,20140602
3875,83,20140429
3899,78,20140214
3948,81,20140127
3951,81,20140623
3953,75,20140213
3963,72,20140423
4073,83,20140205
4112,80,20140203
